,Elenco Menu
0,"['HTML HOME', 'default.asp']"
1,"['HTML Introduction', 'html_intro.asp']"
2,"['HTML Editors', 'html_editors.asp']"
3,"['HTML Basic', 'html_basic.asp']"
4,"['HTML Elements', 'html_elements.asp']"
5,"['HTML Attributes', 'html_attributes.asp']"
6,"['HTML Headings', 'html_headings.asp']"
7,"['HTML Paragraphs', 'html_paragraphs.asp']"
8,"['HTML Styles', 'html_styles.asp']"
9,"['HTML Formatting', 'html_formatting.asp']"
10,"['HTML Quotations', 'html_quotation_elements.asp']"
11,"['HTML Comments', 'html_comments.asp']"
12,"['HTML Colors', 'html_colors.asp']"
13,"['Colors', 'html_colors.asp']"
14,"['RGB', 'html_colors_rgb.asp']"
15,"['HEX', 'html_colors_hex.asp']"
16,"['HSL', 'html_colors_hsl.asp']"
17,"['HTML CSS', 'html_css.asp']"
18,"['HTML Links', 'html_links.asp']"
19,"['Links', 'html_links.asp']"
20,"['Link Colors', 'html_links_colors.asp']"
21,"['Link Bookmarks', 'html_links_bookmarks.asp']"
22,"['HTML Images', 'html_images.asp']"
23,"['Images', 'html_images.asp']"
24,"['Image Map', 'html_images_imagemap.asp']"
25,"['Background Images', 'html_images_background.asp']"
26,"['The Picture Element', 'html_images_picture.asp']"
27,"['HTML Favicon', 'html_favicon.asp']"
28,"['HTML Page Title', 'html_page_title.asp']"
29,"['HTML Tables', 'html_tables.asp']"
30,"['HTML Tables', 'html_tables.asp']"
31,"['Table Borders', 'html_table_borders.asp']"
32,"['Table Sizes', 'html_table_sizes.asp']"
33,"['Table Headers', 'html_table_headers.asp']"
34,"['Padding & Spacing', 'html_table_padding_spacing.asp']"
35,"['Colspan & Rowspan', 'html_table_colspan_rowspan.asp']"
36,"['Table Styling', 'html_table_styling.asp']"
37,"['Table Colgroup', 'html_table_colgroup.asp']"
38,"['HTML Lists', 'html_lists.asp']"
39,"['Lists', 'html_lists.asp']"
40,"['Unordered Lists', 'html_lists_unordered.asp']"
41,"['Ordered Lists', 'html_lists_ordered.asp']"
42,"['Other Lists', 'html_lists_other.asp']"
43,"['HTML Block & Inline', 'html_blocks.asp']"
44,"['HTML Div', 'html_div.asp']"
45,"['HTML Classes', 'html_classes.asp']"
46,"['HTML Id', 'html_id.asp']"
47,"['HTML Iframes', 'html_iframe.asp']"
48,"['HTML JavaScript', 'html_scripts.asp']"
49,"['HTML File Paths', 'html_filepaths.asp']"
50,"['HTML Head', 'html_head.asp']"
51,"['HTML Layout', 'html_layout.asp']"
52,"['HTML Responsive', 'html_responsive.asp']"
53,"['HTML Computercode', 'html_computercode_elements.asp']"
54,"['HTML Semantics', 'html5_semantic_elements.asp']"
55,"['HTML Style Guide', 'html5_syntax.asp']"
56,"['HTML Entities', 'html_entities.asp']"
57,"['HTML Symbols', 'html_symbols.asp']"
58,"['HTML Emojis', 'html_emojis.asp']"
59,"['HTML Charsets', 'html_charset.asp']"
60,"['HTML URL Encode', 'html_urlencode.asp']"
61,"['HTML vs. XHTML', 'html_xhtml.asp']"
62,"['HTML Forms', 'html_forms.asp']"
63,"['HTML Form Attributes', 'html_forms_attributes.asp']"
64,"['HTML Form Elements', 'html_form_elements.asp']"
65,"['HTML Input Types', 'html_form_input_types.asp']"
66,"['HTML Input Attributes', 'html_form_attributes.asp']"
67,"['HTML Input Form Attributes', 'html_form_attributes_form.asp']"
68,"['HTML Canvas', 'html5_canvas.asp']"
69,"['HTML SVG', 'html5_svg.asp']"
70,"['HTML Media', 'html_media.asp']"
71,"['HTML Video', 'html5_video.asp']"
72,"['HTML Audio', 'html5_audio.asp']"
73,"['HTML Plug-ins', 'html_object.asp']"
74,"['HTML YouTube', 'html_youtube.asp']"
75,"['HTML Geolocation', 'html5_geolocation.asp']"
76,"['HTML Drag/Drop', 'html5_draganddrop.asp']"
77,"['HTML Web Storage', 'html5_webstorage.asp']"
78,"['HTML Web Workers', 'html5_webworkers.asp']"
79,"['HTML SSE', 'html5_serversentevents.asp']"
80,"['HTML Examples', 'html_examples.asp']"
81,"['HTML Editor', 'html_editor.asp']"
82,"['HTML Quiz', 'html_quiz.asp']"
83,"['HTML Exercises', 'html_exercises.asp']"
84,"['HTML Website', 'html_website.asp']"
85,"['HTML Bootcamp', 'html_bootcamp.asp']"
86,"['HTML Certificate', 'html_exam.asp']"
87,"['HTML Summary', 'html_summary.asp']"
88,"['HTML Accessibility', 'html_accessibility.asp']"
89,"['HTML Tag List', '/tags/default.asp']"
90,"['HTML Attributes', '/tags/ref_attributes.asp']"
91,"['HTML Global Attributes', '/tags/ref_standardattributes.asp']"
92,"['HTML Browser Support', '/tags/ref_html_browsersupport.asp']"
93,"['HTML Events', '/tags/ref_eventattributes.asp']"
94,"['HTML Colors', '/tags/ref_colornames.asp']"
95,"['HTML Canvas', '/tags/ref_canvas.asp']"
96,"['HTML Audio/Video', '/tags/ref_av_dom.asp']"
97,"['HTML Doctypes', '/tags/ref_html_dtd.asp']"
98,"['HTML Character Sets', '/tags/ref_charactersets.asp']"
99,"['HTML URL Encode', '/tags/ref_urlencode.asp']"
100,"['HTML Lang Codes', '/tags/ref_language_codes.asp']"
101,"['HTTP Messages', '/tags/ref_httpmessages.asp']"
102,"['HTTP Methods', '/tags/ref_httpmethods.asp']"
103,"['PX to EM Converter', '/tags/ref_pxtoemconversion.asp']"
104,"['Keyboard Shortcuts', '/tags/ref_keyboardshortcuts.asp']"
105,"['\n\n\n\n\n\n\n\n\n★\n+1\n', 'https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com']"
